Number,Name,Address,Latitude,Longitude,Banking,Bonus,Status,Contract Name,Bike Stands,Available Bike Stands,Available Bikes,Last Update Date,Last Update - Time
1,Saint Pierre,Rue Eloi Morel angle bd baraban,49.901646,2.303244,False,False,Open,Amiens,20,16,0,09-06-2025,13:11:37
1,Jardines De Pereda,Jardines de Pereda (Aprox. Correos y Castelar),43.461719,-3.8021,True,False,Closed,Santander,40,36,4,17-01-2024,13:59:16
1,Lattre De Tassigny,AVENUE DU MARECHAL DE LATTRE DE TASSIGNY,48.7988351,2.453876338,True,False,Open,Creteil,26,26,0,20-05-2024,11:11:59
1,Woostower,Borne Evènementielle n°1,45.72463042,4.829194816,False,False,Open,Lyon,6,0,0,15-07-2025,13:11:26
1,Theatre Des Arts,DEVANT N°7 BIS RUE JEANNE D'ARC,49.43952415,1.08880495,True,False,Closed,Rouen,25,2,0,03-07-2023,13:27:37
1,Parvis De La Gare,Avenue du GEnEral Leclerc,47.742424,7.342152,True,False,Closed,Mulhouse,40,39,0,26-03-2025,11:48:54
1,Glorieta Olimpica,GLORIETA OLIMPICA - Aprox. Concejal Alberto JimEnez-Becerril,37.41292355,-5.988905938,False,False,Open,Seville,20,17,3,12-11-2025,14:49:46
1,Guillendecastro,C/GUILLEM DE CASTRO esquina con C/NA JORDANA,39.48001,-0.38302,False,False,Open,Valence,25,21,4,12-11-2025,14:53:53
1,Leon Xiii,LEON XIII-RUE DE BONNEVOIE ( DEVANT N° 103 ),49.598211,6.137526,False,False,Open,Luxembourg,20,19,1,12-11-2025,14:54:50
1,Octave Henry,001 - OCTAVE HENRY - RUE DE GEMBLOUX / HALL OMNISPORT,50.47536,4.84661,False,False,Open,Namur,15,8,7,12-11-2025,14:51:54
1,Poids De L'Huile,12 RUE DU POIDS DE L'HUILE,43.60419,1.445475,False,False,Open,Toulouse,19,1,18,12-11-2025,14:57:16
1,Prefecture,Place du Port Communeau,47.21983982,-1.554891341,True,False,Open,Nantes,33,28,4,12-11-2025,14:56:50
1,Leopold Ii,LEOPOLD II - AVENUE DE TERVUREN FACE / TERVURENLAAN VOOR 218,50.836304,4.41505,False,True,Open,Bruxelles-Capitale,20,8,12,12-11-2025,14:55:42
1,Dominicains  Fourier,Angle rue Pierre FOURIER et rue des Dominicains,48.69246545,6.183400554,True,False,Open,Nancy,25,7,18,12-11-2025,14:50:09
1,Gare Viotte,GARE VIOTTE Parc des Glacis - EntrEe Avenue de la Paix,47.246419,6.022567,True,True,Open,Besancon,30,16,14,12-11-2025,14:54:19
1,Arkikatedra,Šventaragio g.,54.68590826,25.28560002,False,False,Closed,Vilnius,21,0,0,12-11-2025,14:55:47
2,Pasteur  Fac De Droit,AVENUE PASTEUR,49.44428497,1.078383026,True,False,Closed,Rouen,20,20,0,03-07-2023,13:29:43
2,Les Halles,Rue J Natiere,49.89603239,2.295043975,False,False,Closed,Amiens,20,18,0,01-07-2025,00:55:42
2,Hopital Intercommunal,AVENUE DE VERDUN,48.79617363,2.463706246,True,False,Open,Creteil,22,9,4,09-12-2023,14:54:02
2,Republique,3 Place de la REpublique,47.74596072,7.341412568,True,False,Closed,Mulhouse,14,14,0,08-04-2025,11:27:00
2,Plaza De Las Brisas,Plaza de las Brisas (Aprox. Jardines de Piquio),43.47441267,-3.785781345,True,False,Closed,Santander,20,20,0,17-01-2024,14:39:18
2,Gran Plaza,GRAN PLAZA - Aprox. Calle Marquez de Pickman,37.38157805,-5.965223966,False,False,Open,Seville,18,0,0,24-04-2025,14:01:35
2,Callesalvadorginercallemuseo,Salvador Giner - C. Museo,39.47985713,-0.379839115,False,False,Open,Valence,15,14,1,12-11-2025,14:49:09
2,Eloy,ELOY - Rue Eloy / Eloystraat,50.836151,4.326019,False,False,Open,Bruxelles-Capitale,25,16,7,12-11-2025,14:48:24
2,Croix Du Feu,002 - CROIX DU FEU - AV DES CROIX DU FEU / RUE MUZET FACE N°7,50.470692,4.852803,False,False,Open,Namur,15,6,9,12-11-2025,14:55:15
2,Lafayette,21 RUE LAFAYETTE,43.604885,1.445306,True,False,Open,Toulouse,24,1,21,12-11-2025,14:56:18
2,Place De La Carriere,Angle Place de la Carrière et rue des MarEchaux,48.69459816,6.182294086,False,False,Open,Nancy,16,9,6,12-11-2025,14:55:25
2,Barboros Radvilaites,Pilies g. – RadvilaitEs g. sankryZa,54.68447055,25.28936958,False,False,Closed,Vilnius,21,21,0,12-11-2025,14:56:03
2,Hôtel De Ville,"29, rue de Strasbourg",47.21857181,-1.55348429,False,False,Open,Nantes,20,18,2,12-11-2025,14:52:18
2,Remparts,Rue Battant (au niveau du Square Bouchot),47.243497,6.021877,False,False,Open,Besancon,10,3,7,12-11-2025,14:53:57
2,Gare Centrale,GARE CENTRALE 2 - PLACE DE LA GARE N°3-5,49.601051,6.133744,False,False,Open,Luxembourg,21,18,0,12-11-2025,14:57:29
3,Rue Du General Leclerc  Centre Ancien,En face du 1 ter rue de joly,48.79078862,2.464890185,True,False,Open,Creteil,24,13,9,02-05-2024,05:01:57
3,Vieux Marche,PLACE DU VIEUX MARCHE,49.44340062,1.089234065,True,False,Open,Rouen,24,0,0,09-05-2023,13:04:52
3,Place De La Concorde,Place de la Concorde / Angle rue de l'Arsenal,47.746818,7.335238,False,False,Closed,Mulhouse,12,12,0,03-04-2025,11:45:49
3,Vogel,Bd du jardin des plantes,49.89812439,2.295195128,False,False,Open,Amiens,20,20,0,10-06-2025,12:58:48
3,Parque Las Llamas,Parque las Llamas (Aprox. Palacio de Deportes),43.47573226,-3.798063871,True,False,Open,Santander,20,0,0,18-12-2023,12:38:33
3,Strasbourg,"4, rue des CarmElites - Place Tirant Lo Blanc",47.21682,-1.551979,False,False,Open,Nantes,15,13,2,12-11-2025,14:54:03
3,Alsacelorraine  Pomme,62 RUE DE LA POMME,43.603302,1.445454,False,False,Open,Toulouse,18,1,17,12-11-2025,14:56:14
3,Puerta De La Barqueta,PUERTA DE LA BARQUETA - Aprox. Puente de la Barqueta,37.40564154,-5.998488241,False,False,Open,Seville,40,29,11,12-11-2025,14:52:30
3,Battant,Rue de la Madeleine- Face à la rue de l'Ecole,47.239978,6.019691,True,False,Open,Besancon,15,12,3,12-11-2025,14:57:06
3,Porte De Flandre ,PORTE DE FLANDRE/VLAAMSEPOORT - BLD DE NIEUPORT/NIEUWPOORTLAAN 1,50.853203,4.341823,False,False,Open,Bruxelles-Capitale,21,7,12,12-11-2025,14:55:52
3,Stroossbuerger Plaz,"17 Rue du Commerce ,Face 19",49.600415,6.129234,False,False,Open,Luxembourg,20,14,2,12-11-2025,14:54:58
3,Plazamusicolopezchavarri,Plaza del Musico López Chavarri,39.47680312,-0.380379115,False,False,Open,Valence,20,19,0,12-11-2025,14:48:02
3,Gare Du Nord,003 - GARE DU NORD - BD DU NORD FACE 5,50.47001,4.86199,False,False,Open,Namur,15,9,6,12-11-2025,14:55:07
3,K Sirvydo Skveras,Pilies g. – Bokšto g. sankryža,54.68093041,25.2884646,False,False,Closed,Vilnius,18,18,0,12-11-2025,14:56:03
3,Place De Dombasle,Rue Stanislas - Face au n°68,48.69195795,6.17851022,False,False,Open,Nancy,28,6,22,12-11-2025,14:56:31
4,Gare De Namur,004 - GARE DE NAMUR - PLACE DE LA STATION / GARE,50.4683,4.86266,True,False,Closed,Namur,26,0,0,09-03-2023,15:39:23
4,Musee Des Beaux Arts,DEVANT N° 39 ALLEE EUGENE DELACROIX,49.44430798,1.093579586,True,False,Closed,Rouen,20,20,0,03-07-2023,14:59:59
4,Cormoran,Cormoran (Aprox. C/ de Manuel GarcIa Lago),43.47847181,-3.788653146,True,False,Closed,Santander,20,20,0,17-01-2024,14:39:26
4,Universite  Mail Des Meches,Avenue du GEnEral de Gaulle,48.78811078,2.446248652,True,False,Open,Creteil,40,32,4,20-05-2024,11:12:45
4,Parc Salvator,Rue de Metz devant parking Face rue de la SOMME,47.74831219,7.343104707,False,False,Open,Mulhouse,12,0,0,18-02-2025,14:14:57
4,Place Au Feurre,Place au Feurre,49.8972903,2.297864452,False,False,Open,Amiens,20,15,5,14-06-2025,03:05:31
4,Flore,7 rue de la Cassotte,47.24576329,6.028137274,False,False,Open,Besancon,11,8,3,12-11-2025,14:53:28
4,Calle Leonardo Da Vinci,CALLE LEONARDO DA VINCI - Aprox C/ Thomas Alba Edison,37.41011156,-6.005722269,False,False,Open,Seville,40,14,26,12-11-2025,14:52:34
4,Marche Central,Angle rue Saint-Dizier - Rue du Dr SCHMITT,48.68917333,6.18390463,True,False,Open,Nancy,18,16,2,12-11-2025,14:55:50
4,Jardin Aux Fleurs ,JARDIN AUX FLEURS/BLOEMENHOF - PLACE DU JARDIN AUX FLEURS/BLOEMENHOFPLEIN - RUE DES 6 JETONS/ZES PENNIGENSTRAAT 71,50.84786485,4.343521,False,False,Open,Bruxelles-Capitale,20,15,4,12-11-2025,14:56:32
4,Rocade,ROCADE-RUE DU LABORATOIRE ( DEVANT VDL ),49.602989,6.136083,False,False,Open,Luxembourg,25,18,0,12-11-2025,14:57:29
4,Gambetta  Steursule,15 RUE SAINTE-URSULE,43.602671,1.442031,False,False,Open,Toulouse,20,0,19,12-11-2025,14:56:31
4,Plazadelavirgencallebailia,Plaza de la Virgen - Bailía,39.47671512,-0.3754331,False,False,Open,Valence,25,13,10,12-11-2025,14:53:20
4,Moulin,"18, rue du Moulin",47.21666758,-1.554384714,False,False,Open,Nantes,12,11,1,12-11-2025,14:55:06
4,Rotuš?,Didžioji g.,54.67788858,25.28745212,False,False,Closed,Vilnius,12,12,0,12-11-2025,14:56:13
5,Glorieta De Los Delfines,Glorieta de los Delfines (Aprox. Avda de los Castros),43.47196611,-3.792854496,True,False,Closed,Santander,20,20,0,17-01-2024,14:50:00
5,Hotel De Ville,RUE DE L HOPITAL,49.44250559,1.098266338,True,False,Closed,Rouen,20,20,0,03-07-2023,15:00:37
5,General Leclerc ,144 RUE DU GENERAL LECLERC,48.78683891,2.468566572,True,False,Open,Creteil,18,14,4,10-04-2024,06:35:51
5,Bourse ,BOURSE / BEURS - RUE PAUL DEVAUX/PAUL DEVAUXSTRAAT,50.848893,4.349396,False,False,Closed,Bruxelles-Capitale,44,0,0,05-05-2025,21:03:04
5,St Leu,66 Rue St Leu,49.8990979,2.3005394,False,False,Open,Amiens,20,0,0,10-06-2025,13:47:01
5,Metz,Angle rue de Metz / AV du President Kennedy devant Chambre des MEtiers,47.749314,7.341124,False,False,Open,Mulhouse,15,14,1,05-02-2025,14:26:06
5,Filharmonija,Didžioji g. – Suba?iaus g. sankryža,54.6762269,25.28861228,False,False,Closed,Vilnius,12,12,0,12-11-2025,14:56:05
5,Marengo  Leduc,FACE AU 5 RUE RENE LEDUC,43.611386,1.456729,False,False,Open,Toulouse,19,19,0,12-11-2025,14:55:46
5,Isenbart,Quai de Strasbourg (Pont Denfert Rochereau),47.242745,6.025208,False,False,Open,Besancon,10,4,6,12-11-2025,14:57:11
5,Brossard,"12, AllEe Duquesne",47.21883723,-1.556749263,False,False,Open,Nantes,18,13,5,12-11-2025,14:55:45
5,Camino De Los Descubrimientos,CAMINO DE LOS DESCUBRIMIENTOS - Aprox. C/ Thomás Alba Edison,37.41104356,-6.001959256,False,False,Open,Seville,40,0,40,12-11-2025,14:52:22
